invoice_line_id,invoice_id,invoice_date,airline_code,movement_id,charge_type,quantity,unit_rate,amount_billed,currency
BL00032,INV-202605-KP,2026-05-31,KP,MOV00010,PSC,152,35.00,5320.00,MYR
BL00033,INV-202604-CQ,2026-04-30,CQ,MOV00011,LANDING,242,13.50,3267.02,MYR
BL00034,INV-202604-CQ,2026-04-30,CQ,MOV00011,PARKING,7,8.00,56.00,MYR
BL00035,INV-202604-CQ,2026-04-30,CQ,MOV00011,AEROBRIDGE,3,120.00,360.00,MYR
BL00036,INV-202604-CQ,2026-04-30,CQ,MOV00011,PSC,172,35.00,6020.00,MYR
BL00037,INV-202601-ML,2026-01-31,ML,MOV00012,LANDING,79,10.20,805.80,MYR
BL00038,INV-202601-ML,2026-01-31,ML,MOV00012,PARKING,4,8.00,32.00,MYR
BL00039,INV-202601-ML,2026-01-31,ML,MOV00012,AEROBRIDGE,2,120.00,240.00,MYR
BL00040,INV-202601-ML,2026-01-31,ML,MOV00012,PSC,135,11.00,1485.00,MYR
BL00041,INV-202604-KP,2026-04-30,KP,MOV00013,LANDING,97,13.50,1309.50,MYR
BL00042,INV-202604-VN,2026-04-30,VN,MOV00013,PARKING,2,8.00,16.00,MYR
BL00043,INV-202604-VN,2026-04-30,VN,MOV00013,AEROBRIDGE,2,120.00,240.00,MYR
BL00044,INV-202604-VN,2026-04-30,VN,MOV00013,PSC,167,35.00,5845.00,MYR
BL00045,INV-202606-RJ,2026-06-30,RJ,MOV00014,LANDING,51,13.50,688.50,MYR
BL00046,INV-202606-RJ,2026-06-30,RJ,MOV00014,PARKING,8,8.00,64.00,MYR
BL00047,INV-202606-RJ,2026-06-30,RJ,MOV00014,AEROBRIDGE,3,120.00,360.00,MYR
BL00048,INV-202606-RJ,2026-06-30,RJ,MOV00014,PSC,58,35.00,2030.00,MYR
BL00049,INV-202602-KP,2026-02-28,KP,MOV00015,LANDING,242,12.00,2904.00,MYR
BL00050,INV-202602-KP,2026-02-28,KP,MOV00015,PARKING,2,8.00,16.00,MYR
BL00051,INV-202602-KP,2026-02-28,KP,MOV00015,AEROBRIDGE,2,120.00,240.00,MYR
BL00052,INV-202602-KP,2026-02-28,KP,MOV00015,PSC,273,11.00,3003.00,MYR
BL00053,INV-202604-ML,2026-04-30,ML,MOV00016,LANDING,280,13.50,3779.99,MYR
BL00054,INV-202604-ML,2026-04-30,ML,MOV00016,PARKING,11,8.00,88.00,MYR
BL00055,INV-202604-ML,2026-04-30,ML,MOV00016,PSC,255,35.00,8925.00,MYR
BL00056,INV-202606-GA,2026-06-30,GA,MOV00017,LANDING,23,12.00,276.00,MYR
BL00057,INV-202606-GA,2026-06-30,GA,MOV00017,PARKING,3,8.00,24.00,MYR
BL00058,INV-202606-GA,2026-06-30,GA,MOV00017,PSC,54,35.00,1890.00,MYR
BL00059,INV-202603-ML,2026-03-31,ML,MOV00018,LANDING,78,12.00,936.00,MYR
BL00060,INV-202606-BN,2026-06-30,BN,MOV00019,LANDING,351,13.50,4738.50,MYR
BL00061,INV-202606-BN,2026-06-30,BN,MOV00019,PARKING,95,8.00,760.00,MYR
BL00062,INV-202606-BN,2026-06-30,BN,MOV00019,AEROBRIDGE,25,120.00,3000.00,MYR
BL00063,INV-202606-BN,2026-06-30,BN,MOV00019,PSC,301,11.00,3311.00,MYR
BL00064,INV-202604-VN,2026-04-30,VN,MOV00020,LANDING,351,13.50,4738.50,MYR
BL00065,INV-202604-VN,2026-04-30,VN,MOV00020,PARKING,13,8.00,104.00,MYR
BL00066,INV-202604-VN,2026-04-30,VN,MOV00020,AEROBRIDGE,5,120.00,600.00,MYR
BL00067,INV-202604-VN,2026-04-30,VN,MOV00020,PSC,243,35.00,8505.00,MYR
BL00068,INV-202606-FX,2026-06-30,FX,MOV00021,LANDING,412,13.50,5562.00,MYR
BL00069,INV-202606-QC,2026-06-30,QC,MOV00021,PARKING,1,8.00,8.00,MYR
BL00070,INV-202606-QC,2026-06-30,QC,MOV00021,AEROBRIDGE,2,120.00,240.00,MYR
BL00071,INV-202603-FX,2026-03-31,FX,MOV00022,LANDING,63,12.00,756.00,MYR
BL00072,INV-202603-FX,2026-03-31,FX,MOV00022,PARKING,38,8.00,304.00,MYR
BL00073,INV-202603-FX,2026-03-31,FX,MOV00022,AEROBRIDGE,11,120.00,1320.00,MYR
BL00074,INV-202603-TG,2026-03-31,TG,MOV00023,LANDING,93,12.00,1116.00,MYR
BL00075,INV-202603-TG,2026-03-31,TG,MOV00023,PARKING,10,8.00,80.00,MYR
BL00076,INV-202603-TG,2026-03-31,TG,MOV00023,AEROBRIDGE,1,120.00,120.00,MYR
BL00077,INV-202603-TG,2026-03-31,TG,MOV00023,PSC,182,35.00,6370.00,MYR
BL00078,INV-202602-ML,2026-02-28,ML,MOV00024,LANDING,280,12.00,3360.00,MYR
BL00079,INV-202602-ML,2026-02-28,ML,MOV00024,PARKING,11,8.00,88.00,MYR
BL00080,INV-202602-ML,2026-02-28,ML,MOV00024,PSC,220,11.00,2420.00,MYR
BL00081,INV-202605-KP,2026-05-31,KP,MOV00025,LANDING,78,13.50,1053.00,MYR
BL00082,INV-202605-KP,2026-05-31,KP,MOV00025,PARKING,10,8.00,80.00,MYR
BL00083,INV-202605-KP,2026-05-31,KP,MOV00025,AEROBRIDGE,4,120.00,480.00,MYR
BL00084,INV-202605-KP,2026-05-31,KP,MOV00025,PSC,142,35.00,4970.00,MYR
BL00085,INV-202602-BN,2026-02-28,BN,MOV00026,LANDING,51,12.00,612.00,MYR
BL00086,INV-202602-BN,2026-02-28,BN,MOV00026,AEROBRIDGE,1,120.00,120.00,MYR
BL00088,INV-202606-VN,2026-06-30,VN,MOV00027,LANDING,280,13.50,3780.00,MYR
BL00089,INV-202606-VN,2026-06-30,VN,MOV00027,PARKING,1,8.00,8.00,MYR
BL00090,INV-202606-VN,2026-06-30,VN,MOV00027,AEROBRIDGE,2,120.00,240.00,MYR
BL00091,INV-202606-VN,2026-06-30,VN,MOV00027,PSC,251,35.00,8785.00,MYR
BL00092,INV-202603-CQ,2026-03-31,CQ,MOV00028,LANDING,228,12.00,2736.00,MYR
BL00093,INV-202603-CQ,2026-03-31,CQ,MOV00028,AEROBRIDGE,1,120.00,120.00,MYR
BL00094,INV-202603-CQ,2026-03-31,CQ,MOV00028,PSC,140,11.00,1540.00,MYR
BL00095,INV-202606-GA,2026-06-30,GA,MOV00029,LANDING,228,13.50,3078.00,MYR
BL00096,INV-202606-GA,2026-06-30,GA,MOV00029,PARKING,1,8.00,8.00,MYR
BL00097,INV-202606-GA,2026-06-30,GA,MOV00029,AEROBRIDGE,2,120.00,240.00,MYR
BL00098,INV-202606-GA,2026-06-30,GA,MOV00029,PSC,198,11.00,2178.00,MYR
BL00099,INV-202606-TG,2026-06-30,TG,MOV00030,LANDING,351,13.50,4738.50,MYR
BL00100,INV-202606-TG,2026-06-30,TG,MOV00030,PARKING,2,8.00,16.00,MYR
BL00101,INV-202606-TG,2026-06-30,TG,MOV00030,PSC,198,11.00,2178.00,MYR
BL00102,INV-202603-SW,2026-03-31,SW,MOV00031,LANDING,23,12.00,276.00,MYR
BL00103,INV-202603-SW,2026-03-31,SW,MOV00031,PARKING,14,8.00,112.00,MYR
BL00104,INV-202603-SW,2026-03-31,SW,MOV00031,PSC,65,35.00,2275.00,MYR
BL00105,INV-202604-FX,2026-04-30,FX,MOV00032,LANDING,172,13.50,2322.00,MYR
BL00106,INV-202604-FX,2026-04-30,FX,MOV00032,PARKING,7,8.00,56.00,MYR
BL00107,INV-202604-FX,2026-04-30,FX,MOV00032,AEROBRIDGE,3,120.00,360.00,MYR
BL00108,INV-202602-RJ,2026-02-28,RJ,MOV00033,LANDING,51,12.00,612.00,MYR
BL00109,INV-202602-RJ,2026-02-28,RJ,MOV00033,PARKING,123,8.00,984.00,MYR
BL00110,INV-202602-RJ,2026-02-28,RJ,MOV00033,AEROBRIDGE,32,120.00,3840.00,MYR
BL00111,INV-202602-RJ,2026-02-28,RJ,MOV00033,PSC,67,35.00,2345.00,MYR
BL00112,INV-202603-KP,2026-03-31,KP,MOV00034,LANDING,351,12.00,4212.00,MYR
BL00113,INV-202603-KP,2026-03-31,KP,MOV00034,PARKING,15,8.00,120.00,MYR
BL00114,INV-202603-KP,2026-03-31,KP,MOV00034,AEROBRIDGE,5,120.00,600.00,MYR
BL00116,INV-202601-TG,2026-01-31,TG,MOV00035,LANDING,79,12.00,948.00,MYR
BL00117,INV-202601-TG,2026-01-31,TG,MOV00035,PARKING,1,8.00,8.00,MYR
BL00118,INV-202601-TG,2026-01-31,TG,MOV00035,AEROBRIDGE,2,120.00,240.00,MYR
BL00119,INV-202601-TG,2026-01-31,TG,MOV00035,PSC,103,11.00,1133.00,MYR
BL00120,INV-202602-SW,2026-02-28,SW,MOV00036,LANDING,280,12.00,3360.00,MYR
BL00121,INV-202602-SW,2026-02-28,SW,MOV00036,PARKING,1,8.00,8.00,MYR
BL00122,INV-202602-SW,2026-02-28,SW,MOV00036,AEROBRIDGE,2,120.00,240.00,MYR
BL00123,INV-202602-SW,2026-02-28,SW,MOV00036,PSC,261,11.00,2871.00,MYR
BL00124,INV-202603-KP,2026-03-31,KP,MOV00037,LANDING,351,12.00,4211.99,MYR
BL00125,INV-202603-KP,2026-03-31,KP,MOV00037,AEROBRIDGE,1,120.00,120.00,MYR
BL00126,INV-202603-KP,2026-03-31,KP,MOV00037,PSC,333,11.00,3663.00,MYR
BL00127,INV-202602-CX,2026-02-28,CX,MOV00039,LANDING,79,12.00,948.00,MYR
BL00128,INV-202602-CX,2026-02-28,CX,MOV00039,PSC,116,11.00,1276.00,MYR
BL00129,INV-202603-KP,2026-03-31,KP,MOV00040,LANDING,93,12.00,1116.00,MYR
BL00130,INV-202604-SW,2026-04-30,SW,MOV00041,LANDING,228,13.50,3078.00,MYR
BL00131,INV-202604-CX,2026-04-30,CX,MOV00042,LANDING,51,13.50,688.50,MYR
BL00132,INV-202604-CX,2026-04-30,CX,MOV00042,PARKING,1,8.00,8.00,MYR
BL00133,INV-202604-CX,2026-04-30,CX,MOV00042,AEROBRIDGE,2,120.00,240.00,MYR
BL00134,INV-202604-CX,2026-04-30,CX,MOV00042,PSC,80,35.00,2800.00,MYR
BL00135,INV-202606-TG,2026-06-30,TG,MOV00043,LANDING,351,13.50,4738.50,MYR
BL00136,INV-202606-TG,2026-06-30,TG,MOV00043,PARKING,29,8.00,232.00,MYR
BL00137,INV-202606-TG,2026-06-30,TG,MOV00043,AEROBRIDGE,9,120.00,1080.00,MYR
BL00139,INV-202603-TG,2026-03-31,TG,MOV00044,LANDING,78,12.00,936.00,MYR
BL00140,INV-202603-TG,2026-03-31,TG,MOV00044,AEROBRIDGE,1,120.00,120.00,MYR
BL00141,INV-202603-TG,2026-03-31,TG,MOV00044,PSC,114,11.00,1254.00,MYR
BL00142,INV-202606-CX,2026-06-30,CX,MOV00045,LANDING,280,13.50,3780.00,MYR
BL00143,INV-202606-CX,2026-06-30,CX,MOV00045,PARKING,2,8.00,16.00,MYR
BL00144,INV-202606-CX,2026-06-30,CX,MOV00045,PSC,208,11.00,2288.00,MYR
BL00145,INV-202601-GA,2026-01-31,GA,MOV00046,LANDING,242,12.00,2904.00,MYR
BL00146,INV-202601-GA,2026-01-31,GA,MOV00046,AEROBRIDGE,1,120.00,120.00,MYR
BL00147,INV-202601-GA,2026-01-31,GA,MOV00046,PSC,168,11.00,1848.00,MYR
BL00148,INV-202606-CQ,2026-06-30,CQ,MOV00047,LANDING,23,13.50,310.50,MYR
BL00149,INV-202606-CQ,2026-06-30,CQ,MOV00047,PARKING,14,8.00,112.00,MYR
BL00150,INV-202606-CQ,2026-06-30,CQ,MOV00047,AEROBRIDGE,5,120.00,600.00,MYR
BL00151,INV-202606-CQ,2026-06-30,CQ,MOV00047,PSC,40,35.00,1400.00,MYR
BL00152,INV-202604-FX,2026-04-30,FX,MOV00048,LANDING,412,13.50,5562.00,MYR
BL00153,INV-202604-FX,2026-04-30,FX,MOV00048,PARKING,86,8.00,688.00,MYR
BL00154,INV-202604-FX,2026-04-30,FX,MOV00048,AEROBRIDGE,22,120.00,2640.00,MYR
BL00155,INV-202604-GA,2026-04-30,GA,MOV00049,LANDING,23,13.50,310.50,MYR
BL00156,INV-202604-GA,2026-04-30,GA,MOV00049,PARKING,4,8.00,32.00,MYR
BL00157,INV-202604-GA,2026-04-30,GA,MOV00049,AEROBRIDGE,2,120.00,240.00,MYR
BL00158,INV-202604-GA,2026-04-30,GA,MOV00049,PSC,59,11.00,649.00,MYR
BL00160,INV-202601-VN,2026-01-31,VN,MOV00050,AEROBRIDGE,1,120.00,120.00,MYR
BL00161,INV-202601-VN,2026-01-31,VN,MOV00050,PSC,41,11.00,451.00,MYR
BL00162,INV-202601-BN,2026-01-31,BN,MOV00051,LANDING,280,12.00,3360.00,MYR
BL00163,INV-202601-BN,2026-01-31,BN,MOV00051,PARKING,2,8.00,16.00,MYR
BL00164,INV-202601-BN,2026-01-31,BN,MOV00051,PSC,203,35.00,7105.00,MYR
BL00165,INV-202604-SW,2026-04-30,SW,MOV00052,LANDING,93,13.50,1255.50,MYR
BL00166,INV-202604-SW,2026-04-30,SW,MOV00052,AEROBRIDGE,1,120.00,120.00,MYR
BL00167,INV-202604-SW,2026-04-30,SW,MOV00052,PSC,164,35.00,5740.00,MYR
BL00168,INV-202606-KP,2026-06-30,KP,MOV00054,LANDING,78,13.50,1053.00,MYR
BL00169,INV-202606-KP,2026-06-30,KP,MOV00054,PARKING,11,8.00,88.00,MYR
BL00170,INV-202606-KP,2026-06-30,KP,MOV00054,PSC,122,35.00,4270.00,MYR
BL00171,INV-202602-ML,2026-02-28,ML,MOV00055,LANDING,93,12.00,1116.00,MYR
BL00172,INV-202602-ML,2026-02-28,ML,MOV00055,PARKING,55,8.00,440.00,MYR
BL00173,INV-202602-ML,2026-02-28,ML,MOV00055,AEROBRIDGE,15,120.00,1800.00,MYR
BL00174,INV-202602-ML,2026-02-28,ML,MOV00055,PSC,136,11.00,1496.00,MYR
BL00175,INV-202606-FX,2026-06-30,FX,MOV00056,LANDING,412,13.50,5562.00,MYR
BL00176,INV-202606-FX,2026-06-30,FX,MOV00056,PARKING,1,8.00,8.00,MYR
BL00177,INV-202606-FX,2026-06-30,FX,MOV00056,AEROBRIDGE,2,120.00,240.00,MYR
BL00178,INV-202605-FX,2026-05-31,FX,MOV00057,LANDING,172,13.50,2322.00,MYR
BL00179,INV-202605-FX,2026-05-31,FX,MOV00057,AEROBRIDGE,3,120.00,360.00,MYR
BL00180,INV-202606-ML,2026-06-30,ML,MOV00058,LANDING,280,13.50,3780.00,MYR
BL00181,INV-202606-ML,2026-06-30,ML,MOV00058,PARKING,1,8.00,8.00,MYR
BL00182,INV-202606-ML,2026-06-30,ML,MOV00058,PSC,239,11.00,2629.00,MYR
BL00183,INV-202603-GA,2026-03-31,GA,MOV00059,LANDING,93,12.00,1116.00,MYR
BL00184,INV-202602-SW,2026-02-28,SW,MOV00060,LANDING,79,12.00,948.00,MYR
BL00185,INV-202602-SW,2026-02-28,SW,MOV00060,PARKING,113,8.00,904.00,MYR
BL00186,INV-202602-SW,2026-02-28,SW,MOV00060,PSC,105,11.00,1155.00,MYR
BL00187,INV-202601-FX,2026-01-31,FX,MOV00061,LANDING,63,12.00,756.00,MYR
BL00188,INV-202601-GA,2026-01-31,GA,MOV00062,LANDING,242,12.00,2904.00,MYR
BL00189,INV-202601-GA,2026-01-31,GA,MOV00062,AEROBRIDGE,1,120.00,120.00,MYR
BL00190,INV-202601-GA,2026-01-31,GA,MOV00062,PSC,214,35.00,7490.00,MYR
BL00191,INV-202602-VN,2026-02-28,VN,MOV00063,LANDING,351,12.00,4212.00,MYR
BL00192,INV-202602-VN,2026-02-28,VN,MOV00063,PARKING,48,8.00,384.00,MYR
BL00193,INV-202602-VN,2026-02-28,VN,MOV00063,PSC,312,11.00,3432.00,MYR
BL00194,INV-202605-ML,2026-05-31,ML,MOV00064,LANDING,78,13.50,1053.00,MYR
BL00195,INV-202601-KP,2026-01-31,KP,MOV00065,LANDING,351,12.00,4212.00,MYR
BL00196,INV-202601-QC,2026-01-31,QC,MOV00066,LANDING,65,12.00,780.00,MYR
BL00197,INV-202604-QC,2026-04-30,QC,MOV00067,LANDING,63,13.50,850.50,MYR
BL00198,INV-202604-QC,2026-04-30,QC,MOV00067,PARKING,14,8.00,112.00,MYR
BL00199,INV-202604-QC,2026-04-30,QC,MOV00067,AEROBRIDGE,5,120.00,600.00,MYR
BL00200,INV-202603-ML,2026-03-31,ML,MOV00068,LANDING,93,12.00,1116.00,MYR
BL00201,INV-202603-ML,2026-03-31,ML,MOV00068,AEROBRIDGE,1,120.00,120.00,MYR
BL00202,INV-202603-ML,2026-03-31,ML,MOV00068,PSC,176,35.00,6160.00,MYR
BL00203,INV-202603-KP,2026-03-31,KP,MOV00069,LANDING,280,12.00,3360.00,MYR
BL00204,INV-202603-KP,2026-03-31,KP,MOV00069,AEROBRIDGE,1,120.00,120.00,MYR
BL00206,INV-202605-RJ,2026-05-31,RJ,MOV00070,LANDING,51,13.50,688.50,MYR
BL00207,INV-202605-RJ,2026-05-31,RJ,MOV00070,PARKING,8,8.00,64.00,MYR
BL00208,INV-202605-RJ,2026-05-31,RJ,MOV00070,PSC,66,11.00,726.00,MYR
BL00209,INV-202601-VN,2026-01-31,VN,MOV00071,LANDING,228,12.00,2736.00,MYR
BL00210,INV-202601-VN,2026-01-31,VN,MOV00071,PSC,137,35.00,4795.00,MYR
BL00211,INV-202601-TG,2026-01-31,TG,MOV00072,LANDING,78,12.00,936.00,MYR
BL00212,INV-202601-TG,2026-01-31,TG,MOV00072,PSC,92,35.00,3220.00,MYR
BL00213,INV-202603-SW,2026-03-31,SW,MOV00073,LANDING,51,12.00,612.00,MYR
BL00214,INV-202603-SW,2026-03-31,SW,MOV00073,PARKING,2,8.00,16.00,MYR
BL00215,INV-202603-SW,2026-03-31,SW,MOV00073,AEROBRIDGE,2,120.00,240.00,MYR
BL00216,INV-202603-SW,2026-03-31,SW,MOV00073,PSC,53,35.00,1855.00,MYR
BL00217,INV-202602-FX,2026-02-28,FX,MOV00074,LANDING,172,12.00,2064.00,MYR
BL00218,INV-202602-FX,2026-02-28,FX,MOV00074,PARKING,15,8.00,120.00,MYR
BL00219,INV-202604-KP,2026-04-30,KP,MOV00075,LANDING,228,13.50,3078.00,MYR
BL00220,INV-202604-KP,2026-04-30,KP,MOV00075,PARKING,13,8.00,104.00,MYR
BL00221,INV-202604-KP,2026-04-30,KP,MOV00075,PSC,167,35.00,5845.00,MYR
BL00222,INV-202604-SW,2026-04-30,SW,MOV00076,LANDING,351,13.50,4738.50,MYR
BL00223,INV-202604-KP,2026-04-30,KP,MOV00076,PARKING,132,8.00,1056.00,MYR
BL00224,INV-202604-KP,2026-04-30,KP,MOV00076,AEROBRIDGE,34,120.00,4080.00,MYR
BL00225,INV-202604-KP,2026-04-30,KP,MOV00076,PSC,218,35.00,7630.00,MYR
BL00226,INV-202604-VN,2026-04-30,VN,MOV00077,LANDING,280,13.50,3780.00,MYR
BL00227,INV-202604-VN,2026-04-30,VN,MOV00077,PARKING,9,8.00,72.00,MYR
BL00228,INV-202604-VN,2026-04-30,VN,MOV00077,PSC,270,35.00,9450.00,MYR
BL00229,INV-202606-VN,2026-06-30,VN,MOV00078,LANDING,228,13.50,3078.00,MYR
BL00230,INV-202606-VN,2026-06-30,VN,MOV00078,PARKING,86,8.00,688.00,MYR
BL00231,INV-202606-VN,2026-06-30,VN,MOV00078,AEROBRIDGE,23,120.00,2760.00,MYR
BL00232,INV-202606-VN,2026-06-30,VN,MOV00078,PSC,123,11.00,1353.00,MYR
BL00233,INV-202606-ML,2026-06-30,ML,MOV00079,LANDING,97,13.50,1309.50,MYR
BL00234,INV-202606-ML,2026-06-30,ML,MOV00079,AEROBRIDGE,1,120.00,120.00,MYR
BL00235,INV-202606-ML,2026-06-30,ML,MOV00079,PSC,186,35.00,6510.00,MYR
BL00236,INV-202601-CX,2026-01-31,CX,MOV00080,LANDING,93,12.00,1116.00,MYR
BL00237,INV-202601-CX,2026-01-31,CX,MOV00080,PARKING,1,8.00,8.00,MYR
BL00238,INV-202601-CX,2026-01-31,CX,MOV00080,PSC,162,11.00,1782.00,MYR
BL00239,INV-202606-ML,2026-06-30,ML,MOV00081,LANDING,51,13.50,688.50,MYR
BL00240,INV-202606-ML,2026-06-30,ML,MOV00081,PSC,92,35.00,3220.00,MYR
BL00241,INV-202605-SW,2026-05-31,SW,MOV00082,LANDING,228,13.50,3078.00,MYR
BL00243,INV-202606-GA,2026-06-30,GA,MOV00083,AEROBRIDGE,1,120.00,120.00,MYR
BL00244,INV-202606-GA,2026-06-30,GA,MOV00083,PSC,163,35.00,5705.00,MYR
BL00245,INV-202606-FX,2026-06-30,FX,MOV00084,LANDING,172,13.50,2322.00,MYR
BL00246,INV-202606-FX,2026-06-30,FX,MOV00084,PARKING,153,8.00,1224.00,MYR
BL00247,INV-202606-FX,2026-06-30,FX,MOV00084,AEROBRIDGE,40,120.00,4800.00,MYR
BL00248,INV-202603-SW,2026-03-31,SW,MOV00085,LANDING,78,12.00,936.00,MYR
BL00249,INV-202603-SW,2026-03-31,SW,MOV00085,PARKING,58,8.00,464.00,MYR
BL00250,INV-202603-SW,2026-03-31,SW,MOV00085,AEROBRIDGE,16,120.00,1920.00,MYR
BL00251,INV-202603-SW,2026-03-31,SW,MOV00085,PSC,154,35.00,5390.00,MYR
BL00252,INV-202606-CX,2026-06-30,CX,MOV00086,LANDING,93,13.50,1255.50,MYR
BL00253,INV-202606-CX,2026-06-30,CX,MOV00086,PARKING,12,8.00,96.00,MYR
BL00254,INV-202606-CX,2026-06-30,CX,MOV00086,AEROBRIDGE,4,120.00,480.00,MYR
BL00255,INV-202606-CX,2026-06-30,CX,MOV00086,PSC,142,35.00,4970.00,MYR
BL00256,INV-202603-TG,2026-03-31,TG,MOV00087,LANDING,242,12.00,2904.00,MYR
BL00257,INV-202603-TG,2026-03-31,TG,MOV00087,PARKING,11,8.00,88.00,MYR
BL00258,INV-202603-TG,2026-03-31,TG,MOV00087,AEROBRIDGE,4,120.00,480.00,MYR
BL00259,INV-202603-TG,2026-03-31,TG,MOV00087,PSC,155,35.00,5425.00,MYR
BL00260,INV-202603-TG,2026-03-31,TG,MOV00088,LANDING,23,12.00,276.01,MYR
BL00261,INV-202603-TG,2026-03-31,TG,MOV00088,PARKING,9,8.00,72.00,MYR
BL00262,INV-202603-TG,2026-03-31,TG,MOV00088,PSC,63,11.00,693.00,MYR
BL00263,INV-202601-CQ,2026-01-31,CQ,MOV00090,LANDING,97,12.00,1164.00,MYR
BL00264,INV-202601-CQ,2026-01-31,CQ,MOV00090,PARKING,15,8.00,120.00,MYR
BL00265,INV-202601-CQ,2026-01-31,CQ,MOV00090,PSC,200,11.00,2200.00,MYR
BL00266,INV-202604-FX,2026-04-30,FX,MOV00091,LANDING,412,13.50,5562.00,MYR
BL00267,INV-202604-FX,2026-04-30,FX,MOV00091,AEROBRIDGE,1,120.00,120.00,MYR
BL00268,INV-202605-KP,2026-05-31,KP,MOV00092,LANDING,23,13.50,310.50,MYR
BL00269,INV-202605-KP,2026-05-31,KP,MOV00092,PARKING,9,8.00,72.00,MYR
BL00270,INV-202605-KP,2026-05-31,KP,MOV00092,AEROBRIDGE,4,120.00,480.00,MYR
BL00271,INV-202605-KP,2026-05-31,KP,MOV00092,PSC,55,35.00,1925.00,MYR
BL00272,INV-202605-QC,2026-05-31,QC,MOV00093,LANDING,63,13.50,850.50,MYR
BL00273,INV-202605-QC,2026-05-31,QC,MOV00093,AEROBRIDGE,1,120.00,120.00,MYR
BL00274,INV-202603-KP,2026-03-31,KP,MOV00094,LANDING,242,12.00,2904.00,MYR
BL00275,INV-202603-KP,2026-03-31,KP,MOV00094,PARKING,1,8.00,8.00,MYR
BL00276,INV-202603-KP,2026-03-31,KP,MOV00094,AEROBRIDGE,2,120.00,240.00,MYR
BL00277,INV-202603-KP,2026-03-31,KP,MOV00094,PSC,179,35.00,6265.00,MYR
BL00278,INV-202604-CQ,2026-04-30,CQ,MOV00095,LANDING,242,13.50,3267.00,MYR
BL00279,INV-202604-CQ,2026-04-30,CQ,MOV00095,PARKING,7,8.00,56.00,MYR
BL00280,INV-202604-CQ,2026-04-30,CQ,MOV00095,AEROBRIDGE,3,120.00,360.00,MYR
BL00281,INV-202604-CQ,2026-04-30,CQ,MOV00095,PSC,273,35.00,9555.00,MYR
BL00282,INV-202603-BN,2026-03-31,BN,MOV00096,LANDING,78,12.00,936.00,MYR
BL00283,INV-202603-BN,2026-03-31,BN,MOV00096,PARKING,128,8.00,1024.00,MYR
