movement_id,flight_no,airline_code,aircraft_reg,aircraft_type,mtow_tonnes,arrival_datetime,departure_datetime,stand,stand_type,pax_departing,scope,status,evidence_ref
MOV00056,FX2246,FX,9M-HVH,B74F,412,2026-06-28 08:30,2026-06-28 09:34,A14,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260628-0056
MOV00057,FX2815,FX,9M-WEA,A30F,172,2026-05-22 14:25,2026-05-22 15:24,A11,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260522-0057
MOV00058,ML7574,ML,9M-NXS,A359,280,2026-06-10 09:15,2026-06-10 10:19,R11,REMOTE,239,DOMESTIC,COMPLETED,EVD-20260610-0058
MOV00059,GA3987,GA,9M-BDD,A321,93,2026-03-09 17:15,2026-03-10 20:59,A08,CONTACT,149,INTERNATIONAL,DIVERTED,EVD-20260309-0059
MOV00060,SW2475,SW,9M-SJW,B738,79,2026-02-27 11:00,2026-02-28 16:05,R03,REMOTE,105,DOMESTIC,COMPLETED,EVD-20260227-0060
MOV00061,FX1605,FX,9M-UVJ,B733F,63,2026-01-25 15:10,2026-01-25 16:04,R15,REMOTE,0,DOMESTIC,COMPLETED,EVD-20260125-0061
MOV00062,GA3031,GA,9M-CCD,A333,242,2026-01-26 09:10,2026-01-26 09:46,A10,CONTACT,214,INTERNATIONAL,COMPLETED,EVD-20260126-0062
MOV00063,VN977,VN,9M-RRV,B77W,351,2026-02-07 18:45,2026-02-08 07:37,R04,REMOTE,312,DOMESTIC,COMPLETED,EVD-20260207-0063
MOV00064,ML1919,ML,9M-ACV,A320,78,2026-05-22 19:20,2026-05-22 20:38,R03,REMOTE,93,DOMESTIC,DIVERTED,EVD-20260522-0064
MOV00065,KP5782,KP,9M-CDR,B77W,351,2026-01-01 17:25,2026-01-01 19:35,R15,REMOTE,241,DOMESTIC,DIVERTED,EVD-20260101-0065
MOV00066,QC6587,QC,9M-HMU,B733F,63,2026-01-11 16:00,2026-01-11 16:37,R16,REMOTE,0,INTERNATIONAL,COMPLETED,EVD-20260111-0066
MOV00067,QC368,QC,9M-BAZ,B733F,63,2026-04-17 19:40,2026-04-18 00:09,A02,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260417-0067
MOV00068,ML6312,ML,9M-JZD,A321,93,2026-03-08 10:45,2026-03-08 11:20,A13,CONTACT,176,INTERNATIONAL,COMPLETED,EVD-20260308-0068
MOV00069,KP8359,KP,9M-RMX,A359,280,2026-03-04 08:50,2026-03-04 09:42,A05,CONTACT,298,INTERNATIONAL,COMPLETED,EVD-20260304-0069
MOV00070,RJ3206,RJ,9M-EHT,E190,51,2026-05-27 11:10,2026-05-27 14:05,R16,REMOTE,66,DOMESTIC,COMPLETED,EVD-20260527-0070
MOV00071,VN2525,VN,9M-UVG,B788,228,2026-01-02 22:40,2026-01-02 23:35,R09,REMOTE,137,DOMESTIC,COMPLETED,EVD-20260102-0071
MOV00072,TG1376,TG,9M-GDC,A320,78,2026-01-16 11:45,2026-01-16 12:43,R10,REMOTE,92,INTERNATIONAL,COMPLETED,EVD-20260116-0072
MOV00073,SW9944,SW,9M-LNK,E190,51,2026-03-30 14:40,2026-03-30 15:58,A13,CONTACT,53,INTERNATIONAL,COMPLETED,EVD-20260330-0073
MOV00074,FX2904,FX,9M-NJX,A30F,172,2026-02-09 20:05,2026-02-10 00:36,R09,REMOTE,0,DOMESTIC,COMPLETED,EVD-20260209-0074
MOV00075,KP4477,KP,9M-QYH,B788,228,2026-04-11 12:50,2026-04-11 16:59,R07,REMOTE,167,INTERNATIONAL,COMPLETED,EVD-20260411-0075
MOV00076,KP6570,KP,9M-ENJ,B77W,351,2026-04-17 15:20,2026-04-19 01:16,A17,CONTACT,218,INTERNATIONAL,COMPLETED,EVD-20260417-0076
MOV00077,VN9348,VN,9M-RNB,A359,280,2026-04-23 07:00,2026-04-23 10:10,R15,REMOTE,270,INTERNATIONAL,COMPLETED,EVD-20260423-0077
MOV00078,VN3697,VN,9M-UMU,B788,228,2026-06-08 16:00,2026-06-09 14:17,A19,CONTACT,123,DOMESTIC,COMPLETED,EVD-20260608-0078
MOV00079,ML2777,ML,9M-XXG,A21N,97,2026-06-24 05:45,2026-06-24 06:27,A14,CONTACT,184,INTERNATIONAL,COMPLETED,EVD-20260624-0079
MOV00080,CX6473,CX,9M-CAJ,A321,93,2026-01-22 17:10,2026-01-22 18:11,R04,REMOTE,162,DOMESTIC,COMPLETED,EVD-20260122-0080
MOV00081,ML7517,ML,9M-YCW,E190,51,2026-06-19 20:05,2026-06-19 20:45,R13,REMOTE,92,INTERNATIONAL,COMPLETED,EVD-20260619-0081
MOV00082,SW5355,SW,9M-UQC,B788,228,2026-05-31 14:40,2026-06-02 00:06,R10,REMOTE,164,INTERNATIONAL,DIVERTED,EVD-20260531-0082
MOV00083,GA7184,GA,9M-XVG,A333,242,2026-06-29 14:15,2026-06-29 14:56,A17,CONTACT,163,INTERNATIONAL,COMPLETED,EVD-20260629-0083
MOV00084,FX8327,FX,9M-DSU,A30F,172,2026-06-29 16:20,2026-07-01 07:30,A07,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260629-0084
MOV00085,SW8517,SW,9M-CVJ,A320,78,2026-03-04 09:40,2026-03-05 01:08,A22,CONTACT,154,INTERNATIONAL,COMPLETED,EVD-20260304-0085
MOV00086,CX7986,CX,9M-GYM,A321,93,2026-06-12 18:40,2026-06-12 22:31,A07,CONTACT,142,INTERNATIONAL,COMPLETED,EVD-20260612-0086
MOV00087,TG9950,TG,9M-XYH,A333,242,2026-03-28 16:40,2026-03-28 20:18,A04,CONTACT,155,INTERNATIONAL,COMPLETED,EVD-20260328-0087
MOV00088,TG8655,TG,9M-ZVC,AT72,23,2026-03-05 18:40,2026-03-05 21:55,R07,REMOTE,63,DOMESTIC,COMPLETED,EVD-20260305-0088
MOV00089,BN4377,BN,9M-GST,A333,242,2026-04-24 20:05,2026-04-24 20:50,A14,CONTACT,164,INTERNATIONAL,CANCELLED,EVD-20260424-0089
MOV00090,CQ3369,CQ,9M-FBT,A21N,97,2026-01-10 18:10,2026-01-10 22:47,R03,REMOTE,200,DOMESTIC,COMPLETED,EVD-20260110-0090
MOV00091,FX1703,FX,9M-PQR,B74F,412,2026-04-09 15:05,2026-04-09 15:43,A04,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260409-0091
MOV00092,KP6837,KP,9M-FJW,AT72,23,2026-05-28 20:00,2026-05-28 23:15,A02,CONTACT,55,INTERNATIONAL,COMPLETED,EVD-20260528-0092
MOV00093,QC1951,QC,9M-WBF,B733F,63,2026-05-10 10:05,2026-05-10 11:05,A04,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260510-0093
MOV00094,KP9938,KP,9M-JNM,A333,242,2026-03-18 14:05,2026-03-18 15:16,A03,CONTACT,179,INTERNATIONAL,COMPLETED,EVD-20260318-0094
MOV00095,CQ6864,CQ,9M-VLF,A333,242,2026-04-01 09:45,2026-04-01 12:29,A24,CONTACT,273,INTERNATIONAL,COMPLETED,EVD-20260401-0095
MOV00096,BN2059,BN,9M-PTY,A320,78,2026-03-03 08:10,2026-03-04 16:59,A12,CONTACT,91,INTERNATIONAL,COMPLETED,EVD-20260303-0096
MOV00097,QC1435,QC,9M-CQN,B74F,412,2026-03-08 12:45,2026-03-08 14:34,A05,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260308-0097
MOV00098,RJ8025,RJ,9M-RBJ,E190,51,2026-06-06 14:05,2026-06-06 14:52,A01,CONTACT,93,INTERNATIONAL,CANCELLED,EVD-20260606-0098
MOV00099,BN4045,BN,9M-SKT,B77W,351,2026-06-20 08:50,2026-06-20 10:19,A12,CONTACT,313,DOMESTIC,COMPLETED,EVD-20260620-0099
MOV00100,CX6748,CX,9M-EML,A321,93,2026-03-06 05:50,2026-03-06 06:58,A19,CONTACT,160,DOMESTIC,COMPLETED,EVD-20260306-0100
MOV00101,ML6205,ML,9M-WSM,AT72,23,2026-05-15 07:45,2026-05-15 08:56,A06,CONTACT,45,INTERNATIONAL,COMPLETED,EVD-20260515-0101
MOV00102,TG7305,TG,9M-BJD,A320,78,2026-04-26 07:05,2026-04-26 11:43,A15,CONTACT,138,INTERNATIONAL,COMPLETED,EVD-20260426-0102
MOV00103,GA2381,GA,9M-JZJ,A333,242,2026-01-19 19:30,2026-01-19 21:00,A09,CONTACT,240,DOMESTIC,COMPLETED,EVD-20260119-0103
MOV00104,BN1199,BN,9M-NSB,B77W,351,2026-02-27 05:50,2026-02-27 15:50,A13,CONTACT,221,INTERNATIONAL,CANCELLED,EVD-20260227-0104
MOV00105,VN4441,VN,9M-HKN,E190,51,2026-05-06 13:25,2026-05-06 14:11,R06,REMOTE,50,INTERNATIONAL,COMPLETED,EVD-20260506-0105
MOV00106,KP9977,KP,9M-ACU,B788,228,2026-01-18 14:00,2026-01-18 14:46,A21,CONTACT,213,INTERNATIONAL,COMPLETED,EVD-20260118-0106
MOV00107,ML2791,ML,9M-TBU,A333,242,2026-03-15 16:30,2026-03-16 23:13,A23,CONTACT,177,INTERNATIONAL,COMPLETED,EVD-20260315-0107
MOV00108,FX2399,FX,9M-CTQ,B733F,63,2026-06-09 05:20,2026-06-09 06:14,A13,CONTACT,0,DOMESTIC,DIVERTED,EVD-20260609-0108
MOV00109,BN6004,BN,9M-KFJ,A359,280,2026-05-10 10:15,2026-05-10 11:39,A23,CONTACT,237,DOMESTIC,COMPLETED,EVD-20260510-0109
MOV00110,GA9616,GA,9M-XQC,A321,93,2026-05-17 10:25,2026-05-17 11:26,A18,CONTACT,113,DOMESTIC,COMPLETED,EVD-20260517-0110
MOV00111,KP5883,KP,9M-DUT,B77W,351,2026-04-11 07:00,2026-04-11 09:58,A16,CONTACT,292,INTERNATIONAL,COMPLETED,EVD-20260411-0111
MOV00112,RJ5120,RJ,9M-SEB,A320,78,2026-02-03 18:05,2026-02-03 19:05,A04,CONTACT,107,DOMESTIC,COMPLETED,EVD-20260203-0112
MOV00113,RJ970,RJ,9M-KPM,A333,242,2026-03-18 21:10,2026-03-18 22:26,R07,REMOTE,161,INTERNATIONAL,COMPLETED,EVD-20260318-0113
MOV00114,QC2795,QC,9M-BUA,B74F,412,2026-01-24 12:20,2026-01-24 16:53,R04,REMOTE,0,INTERNATIONAL,COMPLETED,EVD-20260124-0114
MOV00115,BN6198,BN,9M-LJS,E190,51,2026-05-24 08:40,2026-05-24 13:04,A11,CONTACT,55,INTERNATIONAL,COMPLETED,EVD-20260524-0115
MOV00116,BN615,BN,9M-PQP,B77W,351,2026-02-08 19:50,2026-02-08 20:41,R07,REMOTE,339,INTERNATIONAL,COMPLETED,EVD-20260208-0116
MOV00117,CX8089,CX,9M-NDC,AT72,23,2026-05-15 20:30,2026-05-17 09:00,A18,CONTACT,54,DOMESTIC,DIVERTED,EVD-20260515-0117
MOV00118,FX5809,FX,9M-FXM,B74F,412,2026-02-19 14:45,2026-02-19 15:42,R14,REMOTE,0,DOMESTIC,CANCELLED,EVD-20260219-0118
MOV00119,QC264,QC,9M-XDA,B733F,63,2026-05-19 08:15,2026-05-19 09:15,A11,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260519-0119
MOV00120,CQ6582,CQ,9M-YYB,A321,93,2026-05-23 09:40,2026-05-23 10:24,R10,REMOTE,167,DOMESTIC,COMPLETED,EVD-20260523-0120
MOV00121,BN6493,BN,9M-XXC,A321,93,2026-02-01 21:10,2026-02-01 22:02,A20,CONTACT,142,DOMESTIC,COMPLETED,EVD-20260201-0121
MOV00122,RJ4140,RJ,9M-BDS,E190,51,2026-01-09 08:40,2026-01-09 13:07,A13,CONTACT,81,DOMESTIC,COMPLETED,EVD-20260109-0122
MOV00123,CQ1589,CQ,9M-NXP,B738,79,2026-01-20 11:00,2026-01-21 07:33,A01,CONTACT,111,INTERNATIONAL,COMPLETED,EVD-20260120-0123
MOV00124,TG4817,TG,9M-YDG,A21N,97,2026-05-19 08:10,2026-05-19 09:07,A08,CONTACT,161,DOMESTIC,COMPLETED,EVD-20260519-0124
MOV00125,CQ5413,CQ,9M-BVZ,A320,78,2026-03-08 20:50,2026-03-08 21:38,R03,REMOTE,91,INTERNATIONAL,COMPLETED,EVD-20260308-0125
MOV00126,FX5663,FX,9M-HTT,B77F,347,2026-05-26 19:45,2026-05-26 21:05,R13,REMOTE,0,DOMESTIC,COMPLETED,EVD-20260526-0126
MOV00127,CQ5398,CQ,9M-QWR,B77W,351,2026-06-16 09:10,2026-06-17 12:42,A24,CONTACT,260,INTERNATIONAL,COMPLETED,EVD-20260616-0127
MOV00128,TG1235,TG,9M-GTP,A333,242,2026-01-15 20:00,2026-01-15 21:29,R07,REMOTE,154,INTERNATIONAL,COMPLETED,EVD-20260115-0128
MOV00129,QC413,QC,9M-CYM,B74F,412,2026-03-05 10:20,2026-03-05 11:29,A07,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260305-0129
MOV00130,VN8164,VN,9M-ZRM,A320,78,2026-01-29 21:25,2026-01-29 22:31,A03,CONTACT,135,INTERNATIONAL,COMPLETED,EVD-20260129-0130
MOV00131,ML6612,ML,9M-TXL,B77W,351,2026-03-07 22:10,2026-03-08 01:58,A20,CONTACT,254,INTERNATIONAL,COMPLETED,EVD-20260307-0131
MOV00132,CX5749,CX,9M-THH,A359,280,2026-02-10 18:10,2026-02-10 18:50,A08,CONTACT,185,INTERNATIONAL,COMPLETED,EVD-20260210-0132
MOV00133,ML892,ML,9M-JZS,B77W,351,2026-04-10 17:00,2026-04-10 17:37,A06,CONTACT,199,DOMESTIC,COMPLETED,EVD-20260410-0133
MOV00134,CQ4692,CQ,9M-FEY,A320,78,2026-06-22 12:50,2026-06-23 03:39,R03,REMOTE,93,INTERNATIONAL,COMPLETED,EVD-20260622-0134
MOV00135,RJ1433,RJ,9M-KBK,A320,78,2026-03-10 07:00,2026-03-10 08:29,R06,REMOTE,95,DOMESTIC,COMPLETED,EVD-20260310-0135
MOV00136,FX8017,FX,9M-HUH,B77F,347,2026-04-24 10:25,2026-04-24 11:40,A02,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260424-0136
MOV00137,BN8801,BN,9M-JMZ,AT72,23,2026-04-06 22:25,2026-04-07 02:13,A21,CONTACT,37,DOMESTIC,COMPLETED,EVD-20260406-0137
MOV00138,VN2608,VN,9M-XLE,A321,93,2026-06-23 21:15,2026-06-23 23:47,A12,CONTACT,178,INTERNATIONAL,COMPLETED,EVD-20260623-0138
MOV00139,FX5631,FX,9M-CCF,B74F,412,2026-04-26 10:45,2026-04-27 10:12,A07,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260426-0139
MOV00140,VN6203,VN,9M-ZXP,B788,228,2026-05-04 08:00,2026-05-05 06:27,A02,CONTACT,140,INTERNATIONAL,COMPLETED,EVD-20260504-0140
MOV00141,BN1236,BN,9M-LRC,B788,228,2026-01-09 15:10,2026-01-09 16:15,R03,REMOTE,134,INTERNATIONAL,DIVERTED,EVD-20260109-0141
MOV00142,CQ7622,CQ,9M-GVF,A359,280,2026-06-17 20:40,2026-06-19 03:23,A23,CONTACT,223,DOMESTIC,COMPLETED,EVD-20260617-0142
MOV00143,RJ3420,RJ,9M-MQY,A333,242,2026-02-21 21:05,2026-02-21 22:11,A01,CONTACT,185,INTERNATIONAL,COMPLETED,EVD-20260221-0143
MOV00144,CQ6536,CQ,9M-HJU,A333,242,2026-04-03 15:30,2026-04-03 16:32,R02,REMOTE,217,INTERNATIONAL,COMPLETED,EVD-20260403-0144
MOV00145,RJ9467,RJ,9M-UZV,AT72,23,2026-05-01 12:15,2026-05-02 02:02,A20,CONTACT,43,DOMESTIC,COMPLETED,EVD-20260501-0145
MOV00146,CQ7444,CQ,9M-THN,A333,242,2026-02-22 08:50,2026-02-23 23:44,A03,CONTACT,195,DOMESTIC,CANCELLED,EVD-20260222-0146
MOV00147,VN9979,VN,9M-KEK,E190,51,2026-02-22 14:45,2026-02-22 19:00,R12,REMOTE,72,INTERNATIONAL,COMPLETED,EVD-20260222-0147
MOV00148,ML4359,ML,9M-SEM,A333,242,2026-01-09 12:00,2026-01-10 18:57,A15,CONTACT,201,INTERNATIONAL,COMPLETED,EVD-20260109-0148
MOV00149,RJ4124,RJ,9M-TMH,B77W,351,2026-04-08 14:00,2026-04-08 17:56,A23,CONTACT,224,DOMESTIC,CANCELLED,EVD-20260408-0149
MOV00150,CX2795,CX,9M-TNU,AT72,23,2026-05-09 20:40,2026-05-10 00:45,A18,CONTACT,61,DOMESTIC,COMPLETED,EVD-20260509-0150
MOV00151,SW8540,SW,9M-HZS,B77W,351,2026-03-12 08:50,2026-03-12 09:48,A12,CONTACT,322,INTERNATIONAL,COMPLETED,EVD-20260312-0151
MOV00152,TG3305,TG,9M-TFZ,A333,242,2026-06-09 12:10,2026-06-09 13:39,A10,CONTACT,272,DOMESTIC,COMPLETED,EVD-20260609-0152
MOV00153,SW2664,SW,9M-KAK,A359,280,2026-04-30 10:00,2026-04-30 12:00,A20,CONTACT,166,DOMESTIC,COMPLETED,EVD-20260430-0153
MOV00154,VN2399,VN,9M-PJL,B77W,351,2026-03-26 07:45,2026-03-26 11:10,R07,REMOTE,327,INTERNATIONAL,COMPLETED,EVD-20260326-0154
MOV00155,FX3147,FX,9M-ZPY,B74F,412,2026-02-15 21:45,2026-02-15 22:34,R08,REMOTE,0,DOMESTIC,COMPLETED,EVD-20260215-0155
MOV00156,VN4500,VN,9M-HKZ,B788,228,2026-03-09 20:20,2026-03-09 21:48,A08,CONTACT,179,INTERNATIONAL,DIVERTED,EVD-20260309-0156
MOV00157,ML6846,ML,9M-BCR,B788,228,2026-03-09 05:45,2026-03-09 06:23,R04,REMOTE,203,INTERNATIONAL,COMPLETED,EVD-20260309-0157
MOV00158,RJ6972,RJ,9M-WXR,AT72,23,2026-01-03 22:40,2026-01-04 20:01,R09,REMOTE,57,DOMESTIC,CANCELLED,EVD-20260103-0158
MOV00159,CQ7069,CQ,9M-ULH,A21N,97,2026-04-19 18:45,2026-04-19 19:34,A01,CONTACT,119,INTERNATIONAL,COMPLETED,EVD-20260419-0159
